City,Datetime,Station,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,2015-01-05,Station_K2,226.3,333.2,78.0,67.7,95.5,1.6,0.82,38.2,107.3,5.12,1.09,3.36,481.3,Poor
Bangalore,2015-01-05,Station_B1,193.6,206.3,196.3,85.2,151.5,7.7,2.63,94.9,123.2,14.34,11.78,5.66,6.6,Poor
Bangalore,2015-01-05,Station_B2,16.1,39.4,26.0,116.4,131.2,7.4,0.15,42.2,131.6,4.5,0.51,2.34,295.7,Good
Delhi,2015-01-06,Station_D1,404.4,286.7,101.8,11.3,125.3,3.3,2.23,83.7,71.1,1.5,21.92,9.13,177.0,Good
Delhi,2015-01-06,Station_D2,482.2,127.7,70.6,99.6,115.0,45.3,2.83,73.1,32.3,11.67,19.32,8.18,102.6,Good
Mumbai,2015-01-06,Station_M1,175.7,106.8,133.6,58.7,37.3,4.9,5.15,25.0,158.7,8.03,13.01,7.68,330.0,Satisfactory
Mumbai,2015-01-06,Station_M2,463.5,152.9,191.2,58.8,90.0,47.3,6.78,57.7,164.4,16.47,20.56,2.23,279.0,Very Poor
Chennai,2015-01-06,Station_C1,299.7,311.1,58.3,81.0,3.9,25.9,1.49,49.3,36.8,13.16,13.06,2.78,250.3,Satisfactory
Chennai,2015-01-06,Station_C2,425.1,598.2,64.8,88.2,49.2,31.0,4.4,39.3,51.6,17.47,6.2,7.35,173.1,Moderate
Kolkata,2015-01-06,Station_K1,416.4,87.1,9.1,115.2,247.5,42.5,7.2,75.1,192.6,2.3,28.09,9.73,325.2,Good
Kolkata,2015-01-06,Station_K2,191.2,101.4,5.1,122.3,147.7,11.2,8.86,49.9,27.8,15.62,6.78,7.73,242.5,Good
Bangalore,2015-01-06,Station_B1,354.7,303.7,2.8,0.4,91.4,30.5,7.8,52.4,6.2,4.98,11.17,8.42,440.6,Very Poor
Bangalore,2015-01-06,Station_B2,322.5,419.5,86.1,75.6,101.9,10.0,5.95,17.9,63.6,12.61,15.83,9.33,305.8,Moderate
Delhi,2015-01-07,Station_D1,446.6,120.7,68.8,131.2,243.7,48.9,1.45,93.3,110.0,10.74,9.27,9.02,396.3,Moderate
Delhi,2015-01-07,Station_D2,429.1,38.6,178.5,115.4,116.2,2.1,2.48,14.7,85.8,2.91,25.34,0.89,31.9,Good
Mumbai,2015-01-07,Station_M1,10.0,212.1,64.3,87.8,205.1,35.7,3.16,18.0,52.5,15.66,6.17,6.03,218.9,Good
Mumbai,2015-01-07,Station_M2,318.3,283.9,3.5,140.0,199.2,8.4,1.15,86.9,129.7,1.87,19.6,0.98,340.9,Very Poor
Chennai,2015-01-07,Station_C1,87.3,318.4,86.3,51.1,118.1,44.8,5.33,46.9,149.5,10.66,29.79,1.9,294.8,Poor
Chennai,2015-01-07,Station_C2,400.8,122.9,155.0,76.9,144.6,21.6,3.48,42.5,168.6,1.29,24.13,7.68,319.0,Severe
Kolkata,2015-01-07,Station_K1,496.1,103.6,61.9,35.0,14.8,41.0,0.15,92.8,79.5,2.18,15.23,2.76,269.9,Poor
Kolkata,2015-01-07,Station_K2,342.8,524.2,136.9,48.9,29.5,47.6,1.46,60.3,131.4,4.29,28.01,7.61,116.1,Very Poor
Bangalore,2015-01-07,Station_B1,70.9,379.1,10.7,144.0,169.6,39.8,3.75,72.6,182.3,19.55,6.23,5.32,489.7,Poor
Bangalore,2015-01-07,Station_B2,404.8,556.5,23.9,70.3,187.7,13.6,5.54,66.9,86.5,3.65,2.32,4.33,87.7,Very Poor
Delhi,2015-01-08,Station_D1,28.8,301.7,68.3,18.6,94.8,15.3,8.94,66.0,73.6,12.1,28.47,5.78,103.8,Very Poor
Delhi,2015-01-08,Station_D2,453.1,536.5,132.5,114.9,56.9,49.8,7.19,15.0,21.2,7.56,25.68,5.0,282.2,Good
Mumbai,2015-01-08,Station_M1,437.5,404.8,183.9,41.5,241.4,9.2,1.58,70.9,155.9,10.41,23.71,5.66,317.7,Satisfactory
Mumbai,2015-01-08,Station_M2,383.8,551.7,70.3,53.9,91.4,5.7,5.33,98.6,139.0,19.1,0.29,7.98,418.9,Severe
Chennai,2015-01-08,Station_C1,466.2,199.4,185.0,100.0,148.4,33.3,4.66,37.6,80.3,1.84,1.04,4.71,296.7,Poor
Chennai,2015-01-08,Station_C2,220.3,254.9,44.6,86.6,224.8,0.5,8.19,31.1,199.9,18.08,16.27,0.06,157.5,Very Poor
Kolkata,2015-01-08,Station_K1,229.1,34.4,91.6,114.6,62.2,38.7,7.17,22.7,165.0,13.99,16.92,8.86,340.9,Poor
Kolkata,2015-01-08,Station_K2,411.4,14.4,77.5,13.0,27.7,41.1,0.33,9.3,134.0,12.5,25.56,2.99,308.2,Moderate
Bangalore,2015-01-08,Station_B1,222.0,141.5,75.2,61.2,117.8,24.7,1.26,90.7,109.1,4.66,26.61,1.56,238.6,Good
Bangalore,2015-01-08,Station_B2,281.8,432.6,174.6,113.3,78.7,11.0,0.9,25.3,159.3,7.37,23.43,9.52,7.7,Satisfactory
Delhi,2015-01-09,Station_D1,84.0,118.2,68.1,56.7,8.9,37.6,8.97,53.2,195.1,3.39,5.77,7.4,382.3,Poor
Delhi,2015-01-09,Station_D2,208.5,249.2,77.3,20.3,71.7,13.4,5.53,31.2,73.6,11.97,27.82,8.15,287.8,Good
Mumbai,2015-01-09,Station_M1,77.4,484.4,7.3,33.5,33.4,11.6,3.62,33.1,130.0,3.63,20.29,0.37,174.6,Satisfactory
Mumbai,2015-01-09,Station_M2,17.3,430.9,97.3,129.7,229.7,32.7,7.18,46.5,171.7,14.58,23.02,4.03,277.1,Moderate
Chennai,2015-01-09,Station_C1,245.7,450.6,163.5,116.1,87.2,41.8,1.95,82.5,194.4,7.11,16.53,0.25,446.2,Poor
Chennai,2015-01-09,Station_C2,447.6,445.3,93.6,60.2,243.2,8.9,5.72,1.5,161.7,11.09,8.57,7.54,253.1,Moderate
Kolkata,2015-01-09,Station_K1,279.8,214.9,188.0,3.4,61.2,28.4,3.94,73.7,7.4,11.14,15.03,0.94,153.9,Moderate
Kolkata,2015-01-09,Station_K2,416.1,318.0,66.3,45.5,137.4,46.9,2.23,18.8,129.9,11.48,7.7,8.98,296.7,Good
Bangalore,2015-01-09,Station_B1,18.8,46.1,158.2,77.8,175.2,37.9,4.73,41.4,1.9,5.07,14.6,6.09,423.2,Poor
Bangalore,2015-01-09,Station_B2,222.2,138.9,97.6,110.9,3.5,42.4,5.85,95.3,33.5,19.48,24.01,0.0,494.3,Very Poor
Delhi,2015-01-10,Station_D1,87.0,97.9,41.8,143.7,50.2,11.4,2.27,22.7,11.3,4.23,22.79,0.17,282.7,Poor
Delhi,2015-01-10,Station_D2,437.2,366.9,24.2,70.5,102.5,21.1,9.11,73.5,161.8,9.11,9.74,2.34,73.4,Poor
Mumbai,2015-01-10,Station_M1,436.3,268.8,121.3,119.8,12.3,47.9,5.22,20.8,39.3,7.96,11.23,3.03,100.1,Severe
Mumbai,2015-01-10,Station_M2,463.7,570.2,195.6,132.3,174.1,7.2,0.57,59.9,30.6,7.44,14.99,6.57,127.0,Poor
Chennai,2015-01-10,Station_C1,182.6,401.0,117.3,86.5,242.0,5.6,1.04,91.2,96.3,13.98,6.61,4.62,219.6,Satisfactory
Chennai,2015-01-10,Station_C2,215.9,217.4,44.9,115.0,54.2,18.8,3.24,19.8,67.9,13.39,28.02,1.56,109.1,Poor
Kolkata,2015-01-10,Station_K1,233.3,418.5,193.2,98.2,230.2,43.3,0.5,15.8,46.6,2.06,19.67,1.22,352.1,Good
Kolkata,2015-01-10,Station_K2,419.1,49.7,29.0,100.2,223.9,8.3,6.98,50.8,148.9,11.07,7.82,7.2,257.8,Moderate
Bangalore,2015-01-10,Station_B1,257.0,426.6,153.6,67.3,178.7,4.7,8.18,16.9,137.6,3.54,23.48,5.8,255.7,Very Poor
Bangalore,2015-01-10,Station_B2,447.7,79.8,193.7,29.0,213.7,37.3,9.73,69.1,100.7,14.71,4.88,9.12,68.2,Good
Delhi,2015-01-11,Station_D1,105.7,372.6,103.1,146.2,198.3,31.9,8.62,57.4,182.2,6.04,0.98,5.84,51.8,Poor
Delhi,2015-01-11,Station_D2,69.0,407.3,85.4,143.4,175.3,0.1,7.33,17.8,74.9,7.51,27.5,6.99,337.4,Severe
Mumbai,2015-01-11,Station_M1,404.2,569.5,0.5,67.7,146.8,33.2,8.02,72.1,7.4,16.06,1.54,6.15,443.2,Severe
Mumbai,2015-01-11,Station_M2,449.6,113.9,139.0,66.6,115.4,38.6,9.9,83.3,199.4,1.6,17.33,8.64,112.4,Satisfactory
Chennai,2015-01-11,Station_C1,246.0,319.3,174.9,142.1,222.5,22.4,4.87,37.0,13.3,17.36,24.6,3.04,117.4,Moderate
Chennai,2015-01-11,Station_C2,271.5,153.4,180.2,51.1,246.4,37.4,6.74,66.6,56.4,10.32,25.43,8.35,52.3,Poor
Kolkata,2015-01-11,Station_K1,215.7,193.7,84.4,0.2,68.9,19.3,3.66,53.7,91.1,10.19,3.64,8.15,49.7,Satisfactory
Kolkata,2015-01-11,Station_K2,297.8,53.0,164.6,53.0,187.2,29.9,2.81,6.2,72.4,0.39,6.97,8.78,400.1,Severe
Bangalore,2015-01-11,Station_B1,94.4,35.7,198.5,7.6,248.5,30.9,7.41,43.7,46.0,0.1,9.4,2.92,361.1,Good
Bangalore,2015-01-11,Station_B2,390.4,498.6,31.5,67.6,72.8,14.3,2.85,2.9,155.9,2.42,19.99,6.99,29.0,Very Poor
Delhi,2015-01-12,Station_D1,481.4,130.3,105.5,147.4,32.5,41.7,6.31,97.3,67.4,7.02,5.01,1.39,203.5,Moderate
Delhi,2015-01-12,Station_D2,33.9,578.1,13.6,74.9,170.1,35.3,3.84,68.5,4.7,19.2,14.45,9.4,226.0,Good
Mumbai,2015-01-12,Station_M1,482.1,392.2,89.0,37.7,5.8,4.5,4.73,34.3,64.9,4.05,18.86,3.34,358.5,Very Poor
Mumbai,2015-01-12,Station_M2,482.8,474.5,50.6,132.8,208.6,16.5,4.61,56.9,157.2,9.46,29.6,5.09,271.6,Moderate
Chennai,2015-01-12,Station_C1,222.2,475.5,12.4,13.7,31.7,43.0,5.88,70.9,54.9,19.43,25.16,2.5,393.0,Moderate
Chennai,2015-01-12,Station_C2,308.2,404.7,60.0,26.1,40.9,44.7,3.14,56.5,153.1,0.49,6.25,7.01,181.8,Poor
Kolkata,2015-01-12,Station_K1,499.6,7.6,43.1,25.8,73.7,2.1,6.39,32.0,19.1,14.52,1.74,4.38,84.3,Moderate
Kolkata,2015-01-12,Station_K2,449.6,509.4,65.9,136.7,13.5,35.2,8.06,62.0,97.4,0.3,15.65,9.53,466.3,Very Poor
Bangalore,2015-01-12,Station_B1,210.0,223.7,47.4,18.9,181.8,18.7,0.66,97.2,189.5,3.06,28.94,9.24,289.3,Good
Bangalore,2015-01-12,Station_B2,143.8,598.2,198.3,82.6,144.1,43.0,2.11,16.3,39.3,16.52,20.82,9.94,309.1,Very Poor
Delhi,2015-01-13,Station_D1,250.9,488.9,156.0,122.3,56.1,23.8,7.48,94.1,31.8,11.17,11.38,9.19,80.6,Moderate
Delhi,2015-01-13,Station_D2,116.1,175.6,70.8,47.5,45.5,47.1,9.74,25.8,85.0,2.25,1.57,9.8,237.4,Good
Mumbai,2015-01-13,Station_M1,24.1,598.6,198.6,25.8,0.3,8.4,9.95,68.2,109.0,18.41,23.16,8.05,183.9,Very Poor
Mumbai,2015-01-13,Station_M2,72.8,460.9,73.3,120.2,109.4,45.3,2.94,0.3,1.3,14.7,6.75,3.71,22.0,Very Poor
Chennai,2015-01-13,Station_C1,219.6,367.4,51.9,30.2,156.4,0.6,4.81,59.1,18.5,14.38,11.78,7.81,169.1,Poor
Chennai,2015-01-13,Station_C2,52.2,357.9,79.3,60.6,234.3,39.7,9.74,96.0,35.3,3.92,15.25,1.64,240.5,Severe
Kolkata,2015-01-13,Station_K1,104.5,396.8,139.3,137.7,5.7,3.4,2.85,16.8,70.4,0.17,7.45,0.47,413.2,Poor
Kolkata,2015-01-13,Station_K2,121.7,358.4,23.4,134.7,185.8,19.4,3.26,83.0,84.5,3.25,11.87,3.62,91.3,Satisfactory
Bangalore,2015-01-13,Station_B1,175.4,432.7,21.3,118.7,162.5,16.8,5.24,68.4,106.7,19.07,1.39,1.4,152.2,Satisfactory
Bangalore,2015-01-13,Station_B2,74.2,532.1,30.6,91.6,188.2,38.9,3.91,23.6,39.3,11.46,22.8,7.64,140.1,Moderate
Delhi,2015-01-14,Station_D1,74.9,81.9,123.3,137.8,210.9,46.6,1.81,36.7,118.8,4.59,25.63,3.48,295.8,Satisfactory
Delhi,2015-01-14,Station_D2,473.7,460.6,192.8,69.4,26.8,16.0,6.77,65.0,147.9,2.56,4.02,5.72,455.7,Very Poor
Mumbai,2015-01-14,Station_M1,252.6,403.4,13.7,132.7,185.5,9.0,3.11,90.0,177.3,11.25,15.59,4.97,227.4,Severe
Mumbai,2015-01-14,Station_M2,246.8,552.2,50.0,17.2,25.1,13.3,8.92,23.3,101.5,16.95,11.75,5.86,25.4,Moderate
Chennai,2015-01-14,Station_C1,293.6,62.0,33.6,44.2,199.0,32.6,1.84,3.3,21.2,1.3,11.0,5.1,81.3,Poor
Chennai,2015-01-14,Station_C2,321.7,479.4,173.0,18.1,87.4,46.4,9.49,25.7,104.3,9.8,29.27,2.98,419.2,Good
Kolkata,2015-01-14,Station_K1,419.8,128.7,176.9,33.2,20.2,43.2,8.06,41.2,156.9,14.71,10.94,6.51,77.0,Moderate
Kolkata,2015-01-14,Station_K2,333.1,498.2,136.0,11.8,186.0,2.5,9.8,92.8,81.3,16.61,26.67,8.41,111.0,Poor
Bangalore,2015-01-14,Station_B1,133.7,221.2,46.7,28.8,201.6,31.3,4.81,23.7,160.4,11.92,7.65,7.19,34.4,Good
Bangalore,2015-01-14,Station_B2,236.9,74.9,137.7,90.2,193.0,46.7,6.15,14.5,68.2,0.77,11.54,3.56,310.0,Severe
Delhi,2015-01-15,Station_D1,96.6,314.8,126.7,87.8,243.0,40.9,9.73,40.9,118.2,16.15,25.72,8.08,397.7,Good
Delhi,2015-01-15,Station_D2,102.2,157.5,19.0,13.0,178.2,25.2,6.29,52.9,172.3,15.63,14.25,2.44,209.7,Satisfactory
Mumbai,2015-01-15,Station_M1,329.6,259.8,180.2,62.4,5.1,42.0,0.62,72.7,42.2,12.37,12.12,1.13,298.2,Very Poor
Mumbai,2015-01-15,Station_M2,206.8,183.2,130.3,69.3,99.6,11.6,6.97,40.4,172.8,5.14,16.03,6.77,78.8,Moderate
Chennai,2015-01-15,Station_C1,402.6,448.8,176.9,35.3,147.8,28.2,9.52,35.0,9.7,1.08,28.64,9.27,492.1,Good
Chennai,2015-01-15,Station_C2,414.5,234.4,147.3,6.0,220.1,35.5,7.8,39.5,80.9,18.7,12.87,8.58,475.3,Satisfactory
Kolkata,2015-01-15,Station_K1,340.9,263.7,88.5,113.8,157.3,47.8,5.58,45.9,130.4,4.21,21.61,1.59,255.8,Severe
Kolkata,2015-01-15,Station_K2,223.7,76.4,168.5,86.8,18.8,8.9,2.16,7.1,77.6,15.41,23.18,7.07,14.7,Moderate
Bangalore,2015-01-15,Station_B1,261.1,380.4,89.2,98.2,57.2,23.8,0.9,38.5,57.2,1.34,15.46,1.71,383.4,Very Poor
Bangalore,2015-01-15,Station_B2,406.0,10.4,118.5,25.5,130.3,32.2,9.38,20.2,23.8,15.37,13.15,1.74,491.5,Moderate
Delhi,2015-01-16,Station_D1,180.3,268.0,109.2,95.7,131.7,3.1,9.11,4.2,192.9,17.88,29.02,3.79,47.1,Good
Delhi,2015-01-16,Station_D2,362.1,201.2,194.2,43.0,30.0,40.9,9.42,70.6,163.3,4.59,11.1,4.15,111.8,Severe
Mumbai,2015-01-16,Station_M1,363.8,325.5,136.0,65.7,33.3,11.8,0.14,64.2,26.1,16.81,27.85,4.51,55.4,Severe
Mumbai,2015-01-16,Station_M2,459.0,307.4,151.7,49.9,128.6,49.7,1.6,84.8,147.3,5.62,1.51,7.01,187.4,Very Poor
Chennai,2015-01-16,Station_C1,26.4,372.2,91.9,18.1,206.6,6.6,3.24,37.9,175.5,4.06,29.99,1.87,298.3,Satisfactory
Chennai,2015-01-16,Station_C2,355.0,144.7,29.5,122.2,45.8,44.0,9.91,44.9,175.7,4.82,16.22,1.92,205.0,Poor
Kolkata,2015-01-16,Station_K1,99.4,582.1,94.8,41.9,60.2,44.5,1.77,17.5,26.6,17.78,12.59,0.58,299.3,Severe
Kolkata,2015-01-16,Station_K2,450.1,562.9,139.3,23.6,182.0,12.6,5.86,76.9,191.4,4.34,5.72,4.53,138.4,Poor
Bangalore,2015-01-16,Station_B1,396.6,78.4,169.0,68.5,207.8,7.2,1.26,58.1,183.1,6.4,20.15,0.78,352.2,Satisfactory
Bangalore,2015-01-16,Station_B2,497.9,173.3,143.3,93.8,30.9,18.0,9.75,17.4,165.6,17.28,29.35,8.43,87.9,Very Poor
Delhi,2015-01-17,Station_D1,203.5,579.2,83.4,69.0,146.3,31.2,0.06,72.6,6.0,14.37,5.03,4.26,371.9,Moderate
Delhi,2015-01-17,Station_D2,276.5,137.6,97.0,77.9,101.6,36.2,9.07,77.4,83.6,10.94,4.86,6.26,133.6,Moderate
Mumbai,2015-01-17,Station_M1,371.5,499.0,89.1,92.4,142.9,26.3,8.08,99.2,29.8,3.66,27.4,8.06,178.4,Satisfactory
Mumbai,2015-01-17,Station_M2,311.6,312.3,89.9,3.7,186.5,29.0,4.44,69.9,111.1,13.85,4.82,9.98,304.8,Moderate
Chennai,2015-01-17,Station_C1,73.9,286.0,158.5,99.8,194.0,13.9,1.81,69.7,142.4,9.67,19.62,1.62,381.1,Satisfactory
Chennai,2015-01-17,Station_C2,492.3,157.9,102.1,83.4,41.5,27.0,1.32,91.2,180.1,11.8,29.58,8.09,163.8,Severe
Kolkata,2015-01-17,Station_K1,307.4,348.7,12.9,17.9,222.3,46.8,0.44,68.3,130.1,2.5,18.44,2.43,11.8,Severe
Kolkata,2015-01-17,Station_K2,111.3,163.4,94.3,142.4,154.6,5.3,4.9,56.8,102.9,2.74,19.46,7.23,4.0,Moderate
Bangalore,2015-01-17,Station_B1,421.1,107.2,138.9,142.4,74.6,31.8,1.09,45.0,78.6,6.96,27.82,5.21,295.0,Moderate
Bangalore,2015-01-17,Station_B2,191.4,460.3,82.9,83.4,173.5,0.4,6.44,33.6,110.9,2.17,18.63,2.32,356.3,Severe
Delhi,2015-01-18,Station_D1,359.9,282.0,69.6,92.1,227.0,5.6,2.02,84.5,59.9,18.98,13.27,5.53,46.7,Very Poor
Delhi,2015-01-18,Station_D2,412.0,198.5,181.3,1.6,234.2,39.4,5.02,26.7,87.3,19.74,3.69,7.28,233.2,Satisfactory
Mumbai,2015-01-18,Station_M1,278.4,566.9,148.9,86.4,0.5,0.5,0.88,17.8,174.4,13.92,3.9,6.29,125.1,Poor
Mumbai,2015-01-18,Station_M2,197.1,361.0,33.9,96.6,132.6,27.5,7.33,54.2,87.5,11.07,22.08,9.75,152.9,Severe
Chennai,2015-01-18,Station_C1,56.4,20.1,145.6,102.0,124.0,31.0,3.51,31.3,95.8,8.69,19.19,6.17,128.3,Poor
Chennai,2015-01-18,Station_C2,232.7,496.6,139.8,4.0,245.8,39.7,6.21,89.3,111.2,4.69,4.61,6.24,481.1,Moderate
Kolkata,2015-01-18,Station_K1,472.0,386.3,39.4,11.3,26.4,41.9,8.22,80.2,133.5,15.34,20.68,6.63,403.0,Moderate
Kolkata,2015-01-18,Station_K2,365.7,58.6,168.5,24.2,47.5,3.1,0.65,95.4,30.2,5.86,21.04,9.19,36.6,Poor
Bangalore,2015-01-18,Station_B1,248.9,476.5,131.2,15.8,46.4,21.9,7.65,30.8,12.0,12.55,23.45,7.93,430.3,Satisfactory
Bangalore,2015-01-18,Station_B2,68.4,390.0,107.0,40.0,115.0,17.3,3.33,67.5,95.8,10.24,10.87,9.06,454.4,Very Poor
Delhi,2015-01-19,Station_D1,283.5,427.9,129.7,23.6,184.0,22.9,8.63,70.1,51.0,14.42,18.34,6.92,296.3,Satisfactory
Delhi,2015-01-19,Station_D2,235.6,166.5,98.7,54.3,231.5,20.4,2.79,26.1,50.4,14.34,11.37,2.11,307.6,Very Poor
Mumbai,2015-01-19,Station_M1,115.5,41.1,108.6,85.6,12.2,0.2,0.37,48.5,184.4,10.98,2.9,4.04,230.3,Good
