City,Datetime,Station,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bangalore,2015-01-01 03:00:00,Station_B1,22.2,223.6,167.8,119.9,6.2,48.3,2.56,15.1,55.9,17.36,19.01,1.04,264.6,Good
Bangalore,2015-01-01 03:00:00,Station_B2,423.9,432.9,108.5,141.1,32.5,35.0,1.05,11.7,124.3,5.13,7.54,7.75,445.0,Moderate
Delhi,2015-01-01 04:00:00,Station_D1,215.3,309.5,183.7,102.8,28.8,48.0,0.51,17.1,7.0,13.3,18.61,3.09,241.9,Poor
Delhi,2015-01-01 04:00:00,Station_D2,66.3,328.4,112.5,134.5,109.8,26.5,1.82,24.6,182.6,16.66,1.19,1.56,384.4,Satisfactory
Mumbai,2015-01-01 04:00:00,Station_M1,356.0,358.4,160.7,143.2,124.9,46.3,5.62,68.0,121.7,6.49,20.29,8.37,32.9,Moderate
Mumbai,2015-01-01 04:00:00,Station_M2,488.6,243.4,177.6,78.3,177.5,34.1,1.25,20.2,157.8,19.31,8.15,2.56,136.8,Satisfactory
Chennai,2015-01-01 04:00:00,Station_C1,55.8,49.4,87.8,45.1,25.4,22.8,6.64,52.5,57.4,7.68,21.05,0.39,188.5,Poor
Chennai,2015-01-01 04:00:00,Station_C2,203.0,119.1,80.7,79.8,32.9,3.4,1.6,99.6,69.4,18.68,10.9,8.79,191.4,Moderate
Kolkata,2015-01-01 04:00:00,Station_K1,233.9,467.5,62.2,120.6,91.4,22.1,0.1,58.5,113.6,8.83,23.44,1.25,475.7,Very Poor
Kolkata,2015-01-01 04:00:00,Station_K2,45.2,151.0,41.6,121.6,163.6,2.3,7.75,80.8,99.3,14.56,2.83,9.11,389.3,Moderate
Bangalore,2015-01-01 04:00:00,Station_B1,235.8,327.2,72.4,25.7,113.1,6.2,1.1,4.8,146.8,13.96,10.56,4.16,415.8,Severe
Bangalore,2015-01-01 04:00:00,Station_B2,82.5,454.1,143.8,95.7,118.0,18.8,3.83,92.9,137.7,2.85,10.44,9.01,333.6,Very Poor
Delhi,2015-01-01 05:00:00,Station_D1,207.9,325.9,63.4,148.8,156.8,3.3,2.09,44.0,123.2,0.92,21.21,3.21,216.7,Severe
Delhi,2015-01-01 05:00:00,Station_D2,249.0,166.2,86.1,97.3,157.6,34.5,7.45,58.4,88.0,4.59,3.12,9.09,426.0,Poor
Mumbai,2015-01-01 05:00:00,Station_M1,433.7,457.3,125.7,73.1,119.6,1.3,9.58,5.8,1.7,3.88,5.8,7.24,300.8,Moderate
Mumbai,2015-01-01 05:00:00,Station_M2,248.6,28.8,10.2,136.6,167.5,20.9,2.59,70.1,62.4,6.13,20.67,9.03,347.2,Moderate
Chennai,2015-01-01 05:00:00,Station_C1,366.6,158.0,154.0,100.7,55.4,17.1,7.02,49.6,185.2,0.41,1.57,7.06,268.4,Poor
Chennai,2015-01-01 05:00:00,Station_C2,404.2,546.5,105.2,99.0,240.7,18.0,2.82,16.9,44.1,3.53,5.5,7.05,324.6,Moderate
Kolkata,2015-01-01 05:00:00,Station_K1,470.4,229.1,68.0,116.9,3.8,11.8,8.46,3.7,181.9,7.68,18.72,0.09,138.1,Severe
Kolkata,2015-01-01 05:00:00,Station_K2,340.7,292.8,107.9,59.2,211.2,37.5,8.32,8.1,172.1,15.16,27.62,0.07,67.3,Satisfactory
Bangalore,2015-01-01 05:00:00,Station_B1,304.4,195.8,141.3,84.0,119.3,40.8,3.19,92.9,5.0,6.88,4.11,9.46,70.8,Poor
Bangalore,2015-01-01 05:00:00,Station_B2,106.0,12.8,36.1,56.1,15.6,26.9,1.82,88.5,2.2,0.72,14.59,9.2,222.5,Very Poor
Delhi,2015-01-01 06:00:00,Station_D1,361.5,531.1,57.0,122.0,174.1,12.9,4.51,39.8,184.4,18.52,2.7,2.38,70.8,Poor
Delhi,2015-01-01 06:00:00,Station_D2,254.6,388.8,2.7,1.8,159.1,21.7,3.94,1.4,16.4,9.45,24.05,7.66,314.6,Poor
Mumbai,2015-01-01 06:00:00,Station_M1,168.9,469.1,34.3,66.2,76.0,1.4,9.04,84.9,27.4,8.14,3.56,4.46,82.1,Poor
Mumbai,2015-01-01 06:00:00,Station_M2,142.0,122.4,195.6,94.7,46.0,37.9,7.21,33.5,36.6,0.4,15.19,9.24,425.4,Poor
Chennai,2015-01-01 06:00:00,Station_C1,455.6,7.2,44.0,117.9,122.9,44.1,7.6,36.1,135.0,14.36,11.94,1.48,85.8,Satisfactory
Chennai,2015-01-01 06:00:00,Station_C2,496.4,11.1,139.3,98.5,161.2,49.7,6.52,34.2,75.2,10.89,9.88,1.75,130.6,Poor
Kolkata,2015-01-01 06:00:00,Station_K1,432.5,42.0,136.8,58.3,143.6,37.3,4.9,64.6,174.0,5.71,17.95,2.66,194.2,Severe
Kolkata,2015-01-01 06:00:00,Station_K2,115.2,572.9,118.2,128.4,189.8,37.0,8.2,98.3,15.7,13.83,29.81,2.2,283.3,Good
Bangalore,2015-01-01 06:00:00,Station_B1,359.7,368.5,102.5,120.7,6.0,14.8,7.66,96.9,72.8,8.73,23.38,4.59,12.3,Moderate
Bangalore,2015-01-01 06:00:00,Station_B2,260.5,126.3,121.7,103.3,248.4,49.2,1.51,89.2,121.9,9.51,29.13,4.84,245.1,Satisfactory
Delhi,2015-01-01 07:00:00,Station_D1,490.2,226.5,99.1,72.0,108.2,40.9,3.4,28.4,95.1,1.29,11.83,9.53,375.6,Moderate
Delhi,2015-01-01 07:00:00,Station_D2,108.7,146.5,193.6,12.7,118.4,39.5,7.25,3.7,188.4,17.03,1.68,5.01,105.7,Good
Mumbai,2015-01-01 07:00:00,Station_M1,303.9,102.6,77.4,75.3,182.5,10.6,9.56,86.3,181.5,16.2,29.85,8.98,248.3,Satisfactory
Mumbai,2015-01-01 07:00:00,Station_M2,208.6,502.2,161.0,143.3,242.4,32.3,7.37,95.5,67.0,17.04,16.27,4.91,171.1,Severe
Chennai,2015-01-01 07:00:00,Station_C1,450.5,129.9,37.0,32.3,186.5,40.6,7.86,12.5,159.9,12.37,28.25,1.99,41.9,Good
Chennai,2015-01-01 07:00:00,Station_C2,351.6,407.1,84.0,106.3,175.4,20.2,6.78,73.4,103.2,5.73,28.23,6.07,343.7,Severe
Kolkata,2015-01-01 07:00:00,Station_K1,136.6,288.2,99.8,79.3,74.6,23.1,6.13,13.0,138.2,8.31,10.38,1.32,0.2,Good
Kolkata,2015-01-01 07:00:00,Station_K2,276.8,517.3,56.0,116.6,108.0,25.3,7.96,58.5,146.8,11.08,10.54,8.9,184.1,Moderate
Bangalore,2015-01-01 07:00:00,Station_B1,52.9,480.2,31.6,72.8,62.6,7.9,8.2,43.4,94.2,4.26,0.42,7.93,434.0,Very Poor
Bangalore,2015-01-01 07:00:00,Station_B2,381.6,114.2,136.6,75.2,244.5,40.0,4.96,90.7,111.2,5.3,1.93,8.38,464.1,Satisfactory
Delhi,2015-01-01 08:00:00,Station_D1,384.7,104.7,17.3,10.2,184.4,16.4,3.61,48.4,142.3,9.23,14.3,0.62,470.9,Very Poor
Delhi,2015-01-01 08:00:00,Station_D2,357.5,142.0,152.4,130.6,146.4,48.2,2.27,9.8,191.7,1.86,16.36,0.41,42.3,Very Poor
Mumbai,2015-01-01 08:00:00,Station_M1,297.0,251.5,154.2,35.9,194.6,43.7,0.29,22.3,175.8,13.56,16.9,2.15,253.9,Moderate
Mumbai,2015-01-01 08:00:00,Station_M2,89.4,65.9,98.7,74.3,240.4,44.1,8.4,53.5,66.4,5.4,4.65,9.57,212.8,Severe
Chennai,2015-01-01 08:00:00,Station_C1,212.9,7.6,195.0,14.0,89.6,16.3,9.97,90.6,3.5,0.53,23.87,9.9,202.9,Poor
Chennai,2015-01-01 08:00:00,Station_C2,322.9,581.8,28.9,14.0,53.4,7.9,4.72,13.0,69.0,16.93,18.16,6.92,284.3,Satisfactory
Kolkata,2015-01-01 08:00:00,Station_K1,411.7,594.2,158.8,148.5,56.1,23.1,0.27,34.6,32.6,4.8,5.78,9.93,190.8,Very Poor
Kolkata,2015-01-01 08:00:00,Station_K2,349.5,536.1,158.1,117.2,151.9,12.7,2.86,34.1,166.3,17.94,2.24,0.98,251.8,Severe
Bangalore,2015-01-01 08:00:00,Station_B1,63.2,228.7,110.8,97.1,75.8,23.7,4.68,5.1,145.9,5.5,0.97,1.74,305.6,Severe
Bangalore,2015-01-01 08:00:00,Station_B2,298.8,327.9,52.8,120.8,63.8,13.4,3.18,60.5,20.7,14.32,13.74,0.65,488.2,Poor
Delhi,2015-01-01 09:00:00,Station_D1,87.9,99.5,85.3,147.2,219.4,23.1,9.72,53.7,65.5,11.66,6.13,1.57,332.6,Moderate
Delhi,2015-01-01 09:00:00,Station_D2,305.9,561.7,15.5,64.9,91.8,21.2,8.21,89.6,177.5,14.51,28.47,7.84,479.2,Poor
Mumbai,2015-01-01 09:00:00,Station_M1,485.5,241.6,76.0,31.1,88.2,48.8,3.54,25.4,177.9,16.28,18.36,6.05,86.7,Severe
Mumbai,2015-01-01 09:00:00,Station_M2,246.5,403.8,9.5,85.1,40.5,27.1,6.86,91.3,125.6,14.68,0.79,7.04,26.9,Very Poor
Chennai,2015-01-01 09:00:00,Station_C1,372.9,207.2,140.5,102.3,166.2,12.4,0.01,67.7,47.3,16.71,21.34,4.09,477.7,Satisfactory
Chennai,2015-01-01 09:00:00,Station_C2,260.0,222.8,127.3,70.7,78.2,45.7,8.42,83.4,152.5,15.12,5.46,0.83,327.8,Very Poor
Kolkata,2015-01-01 09:00:00,Station_K1,58.2,268.6,149.6,57.6,5.0,18.1,7.65,99.5,135.9,16.0,18.61,2.25,211.9,Good
Kolkata,2015-01-01 09:00:00,Station_K2,146.4,65.7,95.7,112.9,168.0,7.7,6.45,53.3,30.0,6.09,29.97,6.58,1.2,Satisfactory
Bangalore,2015-01-01 09:00:00,Station_B1,119.4,552.3,27.8,100.2,221.5,29.9,6.57,2.6,165.6,2.81,6.68,4.53,314.1,Poor
Bangalore,2015-01-01 09:00:00,Station_B2,133.7,411.6,157.9,64.4,83.3,14.9,8.89,16.4,90.2,12.62,0.28,4.51,232.5,Very Poor
Delhi,2015-01-01 10:00:00,Station_D1,171.6,587.4,46.2,138.2,160.9,26.8,7.5,53.2,179.2,19.9,4.75,4.67,265.9,Poor
Delhi,2015-01-01 10:00:00,Station_D2,178.4,275.5,196.5,146.8,97.3,33.4,0.31,33.1,33.0,3.89,19.6,3.85,82.1,Good
Mumbai,2015-01-01 10:00:00,Station_M1,12.0,322.6,13.1,23.6,100.5,12.6,5.66,50.1,130.5,9.29,18.03,3.78,141.1,Satisfactory
Mumbai,2015-01-01 10:00:00,Station_M2,68.6,433.8,137.9,67.6,153.2,40.0,4.38,32.2,119.6,3.45,0.18,9.56,101.9,Poor
Chennai,2015-01-01 10:00:00,Station_C1,191.3,80.1,60.3,31.1,26.5,11.7,0.35,84.9,124.5,4.33,18.7,0.57,61.6,Good
Chennai,2015-01-01 10:00:00,Station_C2,142.9,274.8,115.3,118.1,229.2,24.5,2.36,4.3,92.6,15.6,17.48,3.53,195.0,Poor
Kolkata,2015-01-01 10:00:00,Station_K1,161.8,241.3,191.4,44.4,181.6,42.5,8.36,5.0,32.9,7.85,18.04,9.25,302.8,Very Poor
Kolkata,2015-01-01 10:00:00,Station_K2,3.7,63.9,40.3,34.7,174.8,4.4,1.24,38.6,129.1,16.14,17.35,7.32,391.5,Moderate
Bangalore,2015-01-01 10:00:00,Station_B1,176.2,293.3,166.8,96.1,82.2,46.6,1.7,84.7,186.7,0.21,22.78,4.73,94.1,Poor
Bangalore,2015-01-01 10:00:00,Station_B2,343.7,238.0,113.8,56.8,80.2,25.8,1.47,12.8,142.6,15.39,5.97,4.7,317.6,Satisfactory
Delhi,2015-01-01 11:00:00,Station_D1,466.2,156.4,182.1,129.6,184.6,6.9,3.7,31.2,99.6,3.5,28.11,6.8,391.5,Good
Delhi,2015-01-01 11:00:00,Station_D2,494.1,576.6,193.5,29.8,128.0,3.5,6.84,97.3,141.7,17.33,3.12,1.09,240.2,Moderate
Mumbai,2015-01-01 11:00:00,Station_M1,25.4,284.3,156.3,128.8,225.7,27.3,0.97,32.5,107.9,12.58,14.28,3.25,351.1,Poor
Mumbai,2015-01-01 11:00:00,Station_M2,267.6,138.4,141.4,28.5,124.9,26.0,2.61,21.5,36.4,0.44,27.36,1.04,124.7,Severe
Chennai,2015-01-01 11:00:00,Station_C1,447.2,440.1,26.2,120.9,115.0,17.9,5.0,6.7,113.0,3.04,3.07,3.03,235.1,Severe
Chennai,2015-01-01 11:00:00,Station_C2,328.3,101.5,13.2,119.0,77.7,11.5,9.95,94.6,27.0,4.85,26.08,1.12,175.3,Good
Kolkata,2015-01-01 11:00:00,Station_K1,97.9,91.2,86.7,85.7,111.5,40.4,5.54,77.6,108.2,10.11,24.66,7.79,30.0,Severe
Kolkata,2015-01-01 11:00:00,Station_K2,24.3,541.0,112.7,72.2,181.6,28.4,6.73,34.1,7.1,18.17,21.78,2.63,147.0,Severe
Bangalore,2015-01-01 11:00:00,Station_B1,414.1,387.0,134.7,75.7,214.8,19.9,2.42,93.0,153.8,15.26,10.59,5.42,410.1,Moderate
Bangalore,2015-01-01 11:00:00,Station_B2,156.6,267.9,134.1,113.1,145.6,11.9,7.53,7.2,125.9,5.98,25.03,3.35,201.3,Very Poor
Delhi,2015-01-01 12:00:00,Station_D1,474.7,340.7,189.5,23.5,164.8,17.7,9.37,29.6,137.1,4.92,6.13,4.47,117.5,Poor
Delhi,2015-01-01 12:00:00,Station_D2,68.0,508.8,162.4,62.7,126.5,6.9,4.65,62.5,97.0,8.56,28.51,1.08,62.5,Very Poor
Mumbai,2015-01-01 12:00:00,Station_M1,452.1,302.3,5.5,40.1,89.1,40.0,5.15,20.8,139.6,10.92,21.21,7.82,358.0,Moderate
Mumbai,2015-01-01 12:00:00,Station_M2,107.5,491.9,176.5,35.6,25.6,45.2,6.45,25.0,11.6,7.91,27.82,3.86,135.2,Good
Chennai,2015-01-01 12:00:00,Station_C1,328.0,26.3,77.2,13.8,65.5,10.2,7.32,61.4,34.0,17.54,28.94,4.29,125.8,Very Poor
Chennai,2015-01-01 12:00:00,Station_C2,163.0,168.8,100.6,134.1,149.3,39.2,0.76,59.0,70.6,2.43,10.35,6.98,470.9,Moderate
Kolkata,2015-01-01 12:00:00,Station_K1,364.7,302.8,157.8,44.6,128.6,30.6,9.19,51.7,65.7,7.84,19.6,4.09,63.1,Very Poor
Kolkata,2015-01-01 12:00:00,Station_K2,393.2,105.5,116.8,113.6,52.7,3.7,8.01,89.4,88.6,0.91,25.11,7.51,400.6,Satisfactory
Bangalore,2015-01-01 12:00:00,Station_B1,192.3,363.6,100.5,66.3,140.5,22.8,2.04,90.8,74.7,8.78,3.69,8.79,211.5,Very Poor
Bangalore,2015-01-01 12:00:00,Station_B2,341.1,403.3,75.9,60.7,242.5,22.0,3.52,5.2,97.6,2.34,14.7,2.49,330.6,Moderate
Delhi,2015-01-01 13:00:00,Station_D1,32.9,421.5,89.5,104.0,70.9,9.6,1.14,75.3,113.8,3.6,23.95,5.03,200.3,Satisfactory
Delhi,2015-01-01 13:00:00,Station_D2,270.4,317.4,45.9,9.8,52.5,40.1,1.62,84.2,96.2,1.14,11.31,6.06,356.3,Severe
Mumbai,2015-01-01 13:00:00,Station_M1,373.7,118.6,56.7,107.4,76.9,22.6,4.42,13.2,73.4,1.76,15.39,7.87,76.5,Severe
Mumbai,2015-01-01 13:00:00,Station_M2,269.2,196.0,165.1,19.7,57.1,1.0,4.56,17.0,36.1,11.21,8.23,5.09,464.6,Very Poor
Chennai,2015-01-01 13:00:00,Station_C1,104.2,155.3,198.4,44.5,19.7,37.7,8.82,26.6,158.6,5.05,26.49,0.99,283.1,Good
Chennai,2015-01-01 13:00:00,Station_C2,164.4,580.6,168.6,128.3,122.1,47.3,0.52,84.0,22.2,12.88,13.27,4.42,227.4,Poor
Kolkata,2015-01-01 13:00:00,Station_K1,111.0,76.0,165.1,37.0,217.5,34.4,9.63,20.6,7.0,19.48,17.31,7.95,177.0,Moderate
Kolkata,2015-01-01 13:00:00,Station_K2,366.9,33.7,50.5,112.1,158.0,8.9,1.43,13.4,187.2,7.71,13.37,6.26,137.6,Satisfactory
Bangalore,2015-01-01 13:00:00,Station_B1,13.9,117.6,116.9,6.7,16.1,15.2,4.7,2.0,86.6,2.27,12.72,3.27,297.3,Moderate
Bangalore,2015-01-01 13:00:00,Station_B2,422.8,363.6,160.0,45.0,200.5,29.3,9.88,65.2,153.2,2.36,16.62,6.34,77.8,Good
Delhi,2015-01-01 14:00:00,Station_D1,178.8,298.0,116.4,120.4,169.9,32.7,7.8,54.9,54.4,7.82,15.54,7.27,421.2,Satisfactory
Delhi,2015-01-01 14:00:00,Station_D2,276.2,306.7,6.4,21.3,42.3,12.8,8.46,36.2,128.5,13.04,5.84,5.42,225.7,Satisfactory
Mumbai,2015-01-01 14:00:00,Station_M1,494.3,393.8,21.3,146.5,161.2,11.5,9.16,30.9,159.5,3.73,28.77,2.32,409.5,Good
Mumbai,2015-01-01 14:00:00,Station_M2,109.0,273.4,183.4,70.6,148.0,35.3,3.88,17.2,199.7,6.88,17.95,1.01,288.1,Moderate
Chennai,2015-01-01 14:00:00,Station_C1,296.7,57.3,11.0,19.3,237.8,43.3,6.89,88.0,8.4,4.0,15.18,2.21,340.8,Good
Chennai,2015-01-01 14:00:00,Station_C2,401.7,25.2,109.3,42.8,62.1,49.4,3.02,3.4,151.1,12.79,29.81,6.76,468.1,Poor
Kolkata,2015-01-01 14:00:00,Station_K1,196.7,231.0,176.3,93.4,19.6,27.1,3.94,98.4,37.7,14.12,15.17,3.16,217.3,Very Poor
Kolkata,2015-01-01 14:00:00,Station_K2,318.2,236.0,45.4,111.9,75.8,22.2,2.7,56.2,74.6,12.4,3.05,4.63,140.1,Poor
Bangalore,2015-01-01 14:00:00,Station_B1,271.3,326.4,191.3,43.0,241.1,18.4,1.24,50.1,155.2,11.46,8.29,6.39,445.3,Satisfactory
Bangalore,2015-01-01 14:00:00,Station_B2,478.1,21.4,195.8,118.4,17.4,13.2,2.4,8.4,35.6,17.86,23.19,4.13,146.9,Poor
Delhi,2015-01-01 15:00:00,Station_D1,404.4,274.1,45.4,40.8,72.2,49.6,6.82,41.3,56.5,16.0,26.11,2.34,330.0,Severe
Delhi,2015-01-01 15:00:00,Station_D2,55.6,587.9,64.9,64.9,173.3,29.5,9.11,43.1,162.8,7.21,7.16,7.19,390.8,Moderate
Mumbai,2015-01-01 15:00:00,Station_M1,491.0,349.0,125.5,13.5,157.3,27.5,3.87,88.1,130.2,0.96,18.42,9.48,367.9,Moderate
Mumbai,2015-01-01 15:00:00,Station_M2,217.8,485.5,129.5,98.5,226.1,44.0,1.93,55.0,1.8,2.45,29.1,3.8,478.7,Good
Chennai,2015-01-01 15:00:00,Station_C1,95.0,233.4,97.6,91.1,31.2,24.5,2.4,88.7,106.9,7.59,5.92,5.17,165.1,Good
Chennai,2015-01-01 15:00:00,Station_C2,243.8,98.1,8.4,118.9,187.2,7.5,3.61,98.7,43.0,7.78,1.86,5.73,365.8,Good
Kolkata,2015-01-01 15:00:00,Station_K1,400.6,165.5,75.7,99.9,166.2,28.3,9.4,33.9,113.3,5.14,15.11,1.43,168.1,Poor
Kolkata,2015-01-01 15:00:00,Station_K2,477.8,158.0,81.0,87.2,160.6,41.3,2.45,41.5,86.5,5.29,1.97,2.34,443.1,Severe
Bangalore,2015-01-01 15:00:00,Station_B1,305.3,505.3,142.3,47.7,92.9,27.4,7.74,54.8,42.5,16.75,26.36,0.08,215.8,Moderate
Bangalore,2015-01-01 15:00:00,Station_B2,245.6,137.7,140.9,62.6,103.0,2.7,6.83,57.6,44.6,12.37,18.9,9.22,430.2,Poor
Delhi,2015-01-01 16:00:00,Station_D1,351.6,40.3,176.4,105.4,94.5,26.0,3.13,0.7,103.1,14.32,28.07,6.89,171.4,Poor
Delhi,2015-01-01 16:00:00,Station_D2,234.7,17.0,174.1,121.9,187.5,11.2,8.76,83.1,195.9,8.51,1.41,1.07,344.9,Good
Mumbai,2015-01-01 16:00:00,Station_M1,93.2,431.8,12.5,51.2,8.8,35.2,2.01,3.1,187.1,14.01,15.59,5.53,86.3,Poor
Mumbai,2015-01-01 16:00:00,Station_M2,37.7,490.4,123.4,83.9,178.6,9.7,9.91,9.6,122.7,9.32,15.79,7.79,7.0,Good
Chennai,2015-01-01 16:00:00,Station_C1,470.5,296.9,181.3,58.3,75.7,7.5,2.88,35.0,181.9,8.15,4.82,2.9,125.7,Poor
Chennai,2015-01-01 16:00:00,Station_C2,131.7,296.6,183.9,42.0,161.2,25.5,7.95,88.9,87.0,17.9,0.6,8.17,91.5,Satisfactory
Kolkata,2015-01-01 16:00:00,Station_K1,385.3,586.2,147.9,62.2,205.6,29.3,6.5,24.5,190.6,11.61,12.45,4.39,351.7,Good
Kolkata,2015-01-01 16:00:00,Station_K2,396.3,450.8,16.0,12.8,72.3,38.0,6.01,92.8,102.0,3.17,17.41,4.66,162.3,Satisfactory
Bangalore,2015-01-01 16:00:00,Station_B1,13.1,12.1,46.2,52.2,114.3,11.3,2.31,68.3,120.6,6.85,4.18,7.45,498.1,Poor
Bangalore,2015-01-01 16:00:00,Station_B2,0.0,62.3,105.5,3.3,207.1,2.3,7.49,6.9,130.8,1.06,3.79,4.16,218.0,Good
